party,handicapped_infants,water_project_cost_sharing,adoption_of_the_budget_resolution,physician_fee_freeze,el_salvador_aid,religious_groups_in_schools,anti_satellite_test_ban,aid_to_nicaraguan_contras,mx_missile,immigration,synfuels_corporation_cutback,education_spending,superfund_right_to_sue,crime,duty_free_exports,export_administration_act_south_africa
democrat,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0
democrat,1,NA,1,0,0,0,1,1,1,0,1,0,0,0,1,1
republican,0,1,0,1,1,1,NA,NA,0,0,NA,NA,1,NA,NA,NA
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,1,1,1,0,0,1,NA,1,1,0,1,0,1,0,1,1
democrat,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,NA
democrat,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,NA
democrat,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1
democrat,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
democrat,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0
democrat,0,NA,1,0,1,1,0,1,0,0,1,0,0,0,0,NA
democrat,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,NA
democrat,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,NA
democrat,1,0,1,0,0,0,1,1,1,NA,1,0,0,0,1,NA
democrat,NA,NA,0,0,NA,1,NA,0,0,0,1,1,0,1,0,NA
democrat,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
republican,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1
republican,NA,NA,NA,NA,0,1,0,1,1,0,0,1,1,0,0,NA
democrat,1,1,NA,NA,NA,1,0,0,0,0,1,0,1,0,0,1
democrat,1,1,1,NA,0,0,0,1,0,0,1,NA,0,0,1,1
democrat,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1
democrat,1,1,0,0,1,NA,0,0,0,0,1,0,1,1,0,1
democrat,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
republican,0,1,0,1,NA,1,0,0,0,1,0,1,1,1,0,0
republican,0,1,0,1,1,1,0,NA,0,0,NA,NA,NA,1,0,NA
republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
republican,NA,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1
republican,0,1,0,1,1,1,0,0,0,1,0,1,NA,1,0,0
republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
democrat,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
democrat,1,0,1,0,0,1,1,1,1,0,0,1,NA,1,1,1
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
republican,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1
democrat,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
republican,1,1,1,1,1,1,1,1,0,1,NA,NA,NA,1,0,1
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
democrat,0,1,1,0,0,1,1,1,NA,1,0,0,0,0,0,1
republican,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1
democrat,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1
democrat,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
republican,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
democrat,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1
democrat,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1
democrat,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1
democrat,0,1,1,0,0,NA,1,1,1,1,1,0,NA,1,1,1
democrat,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,NA
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
republican,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1
democrat,NA,NA,NA,0,0,0,1,1,1,1,0,0,1,0,1,1
democrat,1,0,1,0,NA,0,1,1,1,1,0,1,0,NA,1,1
republican,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1
democrat,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
republican,0,NA,0,1,1,1,0,0,0,0,1,1,1,1,0,1
republican,0,0,0,1,1,1,NA,NA,NA,NA,0,1,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,NA,0
