X1,X2,X3,X4,X5,X6
19970111,19970111,"St. Cloud, MN",pyramid,2 min.,Summary : Right when me and my friend left  my house we saw a bright green glowing object that looked like a 4 sided pyramid then after about 2 min it took off straight into the sky leaving a yellow trail behind it.Same as above.
19970317,19970321,"Aquaduct (near, over desert, before entering California), CA",triangle,1-2 min.,"Summary : Flying Westward in a UAL plane over the desert near the aquaduct before entering CA, another UAL plane approached and passed beneath us. I noticed its approach and then realized that it had a unusual, triangular-shaped aircraft flying close and to the left of its tail.  This craft? was about 1/4 the size of the UAL plane, triangular-shaped, flat, light grey color. Why?On Feb. 17, I was returned from Chicago on a United Airlines flight to Ontario, CA at about 10AM in the morning. We were flying at about 32,000 feet and the weather conditions were very clear.  Approaching us from the south going north and a bit easterly, I noticed another aircraft flying beneath us.  I am no expert, but I could identify the aircraft as a UAL aircraft. What originally got my attention was that it didn&apos;t seem too far beneath our flight and it seemed so clear because of the lack of clouds, dust, etc.  Then, I noticed that something (another craft?) was tagging along with it, rather close and off the left side of the UAL&apos;s tail.  When I looked closer, I couldn&apos;t figure out what it was or why it was following so closely.  I am not sure of the model of the UAL aircraft, but the &quot;unknown&quot; flying with it was about a quarter of the UAL&apos;s size, triangular shaped, point forward (but the forward point was slightly rounded toward the tip).  Its color was a flat, light g!rey - not shiny as a usual, unpainted aircraft would be.  It was as though the two crafts were flying in formation - that close.I keep them plain in sight until they had passed completely beneath our flight.There is probably a logical explanation for this, but it seemed very strange to me and when I review the sight in my mind, it still seems strange.   Others on the plane may have noted it, but no one else mentioned it.  I was sitting in a row next to a window, just forward of the leading edge of the aircraft, by myself.  My husband picked me up at the airport in Ontario and I mentioned it to him right away.  He guessed maybe it was some kind of target or balloon, but it did have some depth to it, yet nothing on top that I could see which might be like a raised cockpit area, nor did it have any tail(s) or projections, nor any indentation on the back edge like I have seen on some experimental aircraft.  Strange color, too, not too noticeable in the distance and if it had not been so clear, it might have disappeared into the desert sands and dust.  If there is an obvious answer to this one, I would appreciate some feed back.  Thanks"
19971117,19971120,"Sioux Falls, SD",other,3 minutes,Summary : Giant white streak moving across the sky at a high rate of speed stopped and took a 90 degree turn and went straight up  and eventually vanished into the night sky.   It changed colors from a brilliant white to a pale bluish hue.We were driving along Highway 11 at about 2 am at a rate of 55 miles per hour.  In the northeast quadrant we saw a bright white object tht caught our eye because it was moving very quickly.  it moved  from the east to the west and stopped on a dime it looked to be enormous and might have been seen from quite a distance .  We pulled the car over and got out to view it better. The object while it was stopped changed from the bright white light  we originally saw changed to a bluish hue.  It looked as though it was hovering over or near EROS Data Center. The cows in the field on the east side of the road seemed to be come nervous and start walking around. The object then darted off at a 90 degree angle and went straight up until it vanished.
19970621,19970803,"Ticonderoga, NY",triangle,5 min,"Summary : There was a flash of blue light in the sky, and then it disappearedWe couldent see the ship to well but it seamed to be triangular in shape.  It just hovered there in the sky for minutes and then it just vanished leaving a light blue streak behind it."
19610801,19970330,"Subic Bay (Philippines),",circle,30 min.,"Summary : Looking east about 10 to 15 degrees above the horizon, I saw this starlike object at a very high speed. There was only one light which is the bottom of the craft. The object was round as I can can see it from below. It was at night so I cannot tell what the upper portion of the object look like.The object was coming at a very high speed and stopped over us.I was amazed by this object, traveling at high speed and made a suuden stop and hover with no overrun. As it hover us, the object turn on its bright light and I could see clearly for about a mile. It was like daylight with no heat.I would also like to add that I did not hear an engine sound from this object and thats what scared me. I thought to myself that this object is not from earth. Also, I have kept this a secret for 35 years, because I don&apos;t know what it was until last summer I saw on the television a special onUFO sightings. It was an astronaut orbiting around the earth who saw it first coming towards earth and I was the second one to see it here on earth. I don&apos;t Know if there are more people saw this on earth.((NUFORC Note:  Date is approximate.  PD))"
19970510,19970510,"Lawton (vicinity), MI",NA,NA,"A man called to report that he and another person had been out turkey hunting, when a bright &quot;beacon&quot; shone down on them from above.  It &quot;lit up the woods,&quot; her reported, and they saw a bright blue light directly above them."
19971114,19971117,"Corbett, OR",formation,3 min,"Summary : we were driving west on chamberlain rd. which overlooks the columbia river gorge toward washugal washington. we witnessed several, at least twenty, lights off to the north, toward washington, moving in an easterly direction through the gorge. The lights seem to be contained within a glowing nebula.  At the front of the formation was a dark object, larger than an airplane. lights looked like streamers breaking off the main body.  object moved quickly up the gorge away from the coast.  it definitly did not move west.detail will follow later"
19970527,19970529,"Laguna Park, TX",cigar,5 minutes,"Summary : At about 24:35 my friends and I were traveling to Laguna Park on Highway 56, when we saw an odd looking aircraft hovering above at about 1000 feet. when we stopped to look at it, it started off slowly at first, then at a much faster rate. It then disapeared.Well my friends, Topher, Sean and I (Jusin),were traveling back from Waco on highway 56 at about 12:30 when we saw a strange object hovering about 1000 feet in the air obove a field by the highway. It was (frome the positioning of the lights) a triangle shaped object. At first we thought it was a plane but then we realized it was hovering. It had about 5 white lights, and 3 red lights, and one light that seemed to revolve around the craft. we could not tell the size but I don&apos;t think it was too big. About the size of a normal air craft. We pulled over to get a better look at it. It stayed put for about three full minutes untill we got out of the car. When we got out of the car, it started to move, slowly at first, then quite rapidly, untill lightning brightened up the sky and it disapeared. I was starting to get stormy. We looked for it for another two or three minutes but couldn&apos;t see it. We sat there for a few minutes in awe and asked ourselves if we really saw anything at all, we each said yes. We went home.((Name deleted)) is 17 years old, he is joining the Army.He just graduated from Highschool at Clifton.He is a skater (skateboard) and has a girlfriend. He doesn&apos;t know if he believes in aliens or not but he would like to know what the hell that was.((Name deleted)) is 18 years old. He is in collage and is joining the Army as well.He graduated from Cliftin too and is a Preachers son.He is a small time computer programmer.He holds a steady job and is engaged to get married. Doesn&apos;t believe in aliens or UFO&apos;s.I, ((Name deleted)), am 17 years old, I am a senior in Highschool and will graduate in 98.I am a small time computer programmer too.I am single and I hold a steady job in retail. I don&apos;t really believe in aliens but This definately is an UNidentified Flying Object and I want to know what that was."
19971115,19971115,"West Palm Beach, FL",other,5 minutes,Summary : Object changed direction twice.Object Changed Shape Orangish Color Moved In Small Circles Direction Changed Twice Observer1-- ((Name deleted))Comp. Tech.-45 Observer2-((Name deleted))- Disabled-44 Observer3-((Name deletedc))- Student-13 Observer4-((Name deleted.))Retired-Unknown Found in the SSW Sky
19631123,19971121,"USS Kearsarge (at sea, out of Japan),",chevron,5 minutes,"Summary : Observed 5 lights in a inverted &quot;V&quot; rise from the horizon, hover for a few minutes and then sink back down below the horizon. We were at sea on our way back to the U.S. from Japan. Lights were simular to the Phoenix &quot;V&quot; lights.Me and my friend M. B. were walking accross the flight deck, I don&apos;t remember why anymore. It was at dusk but not dark yet. We first saw a bright light on the horizon directly behind the ship. It rose up and then there were 3 which continued to rise to 5 lights. They stayed there for awhile not moving or anything. I told my friend I should go get my camera but he said the lights would be gone by then. Shortly after that the lights descended to below the horizon. We went the the CIC room and asked the radar operator if there was anything behind us, he said no. We never said why we were asking or said anything about what we had saw. I can&apos;t remember that we ever talked about it after that because M. said no one would believe us anyway and I agreed. Until I heard about  the Phoenix lights on 3-13-97 I haven&apos;t mentioned this to a whole lot of people. As to when this happened I am thinking it was 3 days out of Japan and the ship was traveling about 30 knots. It was a warm night as I remember. I don&apos;t remember that the lights flickered but do remember that they were white."
19970422,19970422,"Worcester, MA",egg,30seconds,"Summary : It was a bright white/Yellow light, moving at an incredible speed.  Too fast for any plane Went from west to East, The White light would dissapear and then reappear, but it was not moving behind a cloud.  The back had 4 very close together lights.  About 5,000 ft. high.  It was egg shaped, and none of the lights were blinking.  No E.B.E.  encounter was experienced.The craft was egg shaped.  Had a bright light on the side of the craft that was white/yellow.  The light would fade out and dissapear , and then reapper, we know it was not a clould in the path of vision because none were present at the time.  From the rear of the craft there were 4 lights closely together, they were tiny compared to the one on the side, and they wren&apos;t as bright.  The light on the side when it went out would reappear half way across the sky  so it was moving at a very incredible speed much faster than a plane."
19970329,19970708,"Phoenix City, AL",NA,3.45 HRS.,"Summary : CLOSE ENCOUNTER/CAUGHT ON VIDEO on march 29 1997 I lost over 3 hrs.while filming hale bop,(CAPTURED CRAFT,BEINGS ON VIDEO.)I THOUGHT I HAD BEEN GONE APPROX 30 MIN.BUT VIDEO IS OVER 3 HRS.on the 29th.I went to a fcc tower approx.amile or less from my home to video the hale bop comet,although I didnt see the comet I did see a brilliant light,it was square (IT LOOKED LIKE A GIANT DOOR!)Istarted getting very cold,I remember smelling ether,i filmed a few stars,went home!(or so I thought!)when i arrived home my wife asked me -did you see that thing that flew over the house? I replied that I didnt see anything! Then she asked what took so long? I replied I was only gone 30 or 45 minutes max. then she said -baby youve been gone almost 4 hrs.I thought she was upset about me not seeing this thing that had flown over our home! so I told her that I WAS SORRY!,went to bed ;the next morning Iwent outside and started filming over the tape,filming the squirrels,my wife came out and told me I REALLY WAS GONE ALMOST 4 HRS.TOLD ME TO CHECK THAT TAPE! so we went in to look at the tape,she was right!I CAUGHT IT ON TAPE!THE TAPE BESIDES WHAT I FILMED OVER IS OVER 3 HRS.LONG!"
19971114,19971204,"Noblesville, IN",fireball,10-20 SEC,"Summary : AS WE WERE LINING UP OUR REFLECTOR TELESCOPE WITH POLARIS. SEEN SOMETHING HIT THE ATMOSPHERE, STOPPED FOR 2-5 SEC. AND DISAPPER. WITHOUT A TRACE.IT LOOKED LIKE A REG. METEOR COMING INTO THE ATMOSPHERE BUT AFTER THE BURN, IT STAYED STILL FOR A FEW SECONDS AND THEN WE LOST SIGHT OF IT. RED IN COLOR, ROUND NO LIGHTS OF ANY KIND JUST A DULL GLOW. ONLY SEEN ONE ABOUT 1 1/2&quot; WITH NAKED VIEW. THE NIGHT WAS CLEAR SORRY I CAN&apos;T HELP MUCH, BUT WAS IN A HURRY TO SEE JUPITER. WE HEARD ABOUT IT ON ART BELL SO IF IT WAS SOMETHING, GREAT."
19970704,19970714,"St. Louis( Pacafic), MO",light,3 sec,Summary : a blue light appeared suddenly and dtreaked across the sky and the flew up for a short peroid of time and then vanished
19970614,19970619,"Vancouver, WA",light,5 min.,"Summary : My sister, boyfriend and I were drivinghome one night and saw a strange light inthe sky and stopped to check it out. Theobject made strange movements,and flew away.At about 2:45am on 6-14-97, my sister,boyfriend and I were driving home from workon I-205 north bound. My sister was lookingout the window and noticed a strange light inthe skies above us. She said,&quot;I never seen anairplane like that before!&quot; I stopped the carand the three of us got out of the car to geta better  view. we used some binoculars,butcould not see any better. There was no noisefrom the thing we saw. It was just a singularwhite strobe light. Nothing like I&quot;ve seen onairplanes, helicopters,and such. We watchedthe object for about 5 mins moving off to thenorth making a circular movement, like it wasspiraling to the north. It shot off to thewest until it was about NNW from us and continued its north bound course. We watched ituntil we could no longer see the object"
19801201,19970710,"Franklin (5 miles south of), TN",rectangle,3 minutes,"Summary : Close encounter/Franklin Tn.Coming down Old Hillsboro Rd., in the winter of 1980, I saw a very brilliant light. It was low to the ground, sort of shadowing the top of the trees. In other words the craft was following the contour of the landscape. As it got closer the light divided into two lights of which they appeared to be some type of flood light. It also looked like shafts of light the farther away it got. It proceeded to come in and the closer it came to the road the lower it got. I was so amazed with the sight that I stopped the car and got out, my wife was in the car with me. I had completely cut the motor of the vehicle off. This craft was flying soundlessly over the road and us.  It was shaped like a rectangular box, with a slanted plexiglass looking windshield. It was moving very slowly, and my wife was telling me to get into the car and lets go. It was a full moon night and we both saw the ufo very plainly. Not like some kind of light in the sky, we saw the entire vehicle. And I have not been the same until this very day. My wife and I are not mental patients and have never been. We don&apos;t drink or do any type of drugs. We attend church regularly and are the parents of four children."
19970313,19970314,"Kingman, AZ",formation,6 Minutes,Summary : 5 BRIGHT orange lights flying in a V formationAround 7:30 p.m. my husband first observed 1 light moving across the sky in a SW direction.  No flashing lights just steady.  I saw it also.  30 min later he was looking NW in the Hale-Bopp comet direction and saw a fuzzy light above the horizon.  Too late for the comet so we got a pair of binoculars and WOW.  5 BRIGHT orange lights in a V formation.  Not moving at first and then they were moving very slowly.  We went to get a better view and they were gone!  Where we live they would have been flying over the Lake Mead area .  Possibly Red Lake.   My husband and I are in our 40&apos;s.  We own a taxidermy business.  We are interested in astronomy so we are usually looking at the sky.  We know a plane from something wierd.
19970320,19970320,"Whitefish, MT",light,5-10 secs,"Summary : orange lights (not shaped likeaircraft) about 1000 feet overhead followed closely by jet (wingsvisible naked eye).  Only soundsof one aircraft.While viewing Hale Bopp in NNWsky, noticed an orange light moving quickly with an aircraft following closely behind movingwest to east.  The second object was clearly an airplane with wings, fusilage, runninglights-- visible with naked eye (andbinoculars) and sound of jet engine.Only one engine noise heard.  The orange object appeared to have 3 smaller orange lights associated with it, visible in binoculars only.These orange lights were closer together than the running lights ofthe trailing airplane, and were ina straight line.  They never seemedto move relative to one another.No visible structural bodyassociated with orange lights.The sighted plane and lights wasabout 500-1000 feet above theground and maybe 1000-2000 feetaway.  The sighting was made in anarea of tall trees, and moved quicklyout of line of sight. The aircraft trailin lights was extremely close tothe lights it followed-- at arm&apos;sdistance about as far apart aswidth of a fist.Towards end ofsighting, the space between closed a bit."
19970403,19970412,"Melbourne (VIC, Australia),",egg,10 seconds ?,"Summary : At aprox. 20.45 I noticed 2 light emitting pinkish egg shaped objects n/w of my position. They were aprox 50 miles away travelling extremely fast thru a 90 degree arc in aprox 10 sec. One turned sharply right then sharply left back to its  original course. The other followed seemingly to the millimetre. Finally at about s/w they turned right &amp; disapeared into the distance. I rang the Victorian UFO Society who had received reports of UFO&apos;s in the areas we viewed 40 to 50 miles away. My son also witnessed them. Too fast &amp; cornered too sharp to be anything we Know.Just prior to closing shop I had been informing the boys about comet Hale Bopp which should be visible at the end of the month; this conversation natuarally induced me to look at the sky once exiting the factory. The first thing which I believe caught the corner of my eye from the N/W was the speed of the two objects then the colour. I stared at them trying to define what they were. My curiosity turned to astonishment when one object turned hard right. ( I then yelled to my son &quot; check out the pink lights&quot; which he sighted directly without assistance) the object then banked hard left to its original course. To further my astonishment was the second object which followed the first through its flight path seemingly to the millimeter as if they were playing follow the leader. The objects continued on their course until they were aprox s/w where they turned right and rapidly disapeared into the distance.1/ Due to comprehending(as best my mind can) distance to the nearest star 4.2 LY which may support planets  I have never really believed in UFO&apos;s. Now not so sure.2/I am an amatuer astronomer &amp; therefore familiar with the night sky; I know the differance between stars,planets,satelites,lights &amp; reflections,planes, balloons, distance etc. These objects were definately none of the above.3/I would estimate these objects to be aprox 50 miles away.4/Today I received notification of one sighting in Werribee &amp; 2 sightings in Melton verifying our sighting and placing the objects at the same time and flight path.5/They travelled thru an arc of about 90 degrees in about 10 secs aprox 50 miles away.Too fast for anything known to me.6/They were at aprox 40 deg altitude.7/ They cornered to sharply for anything known to me. Very direct 45deg right/45 deg left- no arc.8/Referring to a map with the information available it is possibble they did a Zig-Zag turn to avoid flying directly over Melton or another small town in that proximity.9/It was possible to see they were solid egg shaped objects emitting a pinkish glow.10/They were to far away for sound if they making any.11/Both I (age 40) &amp; my son (age 20) believe what we saw to be controlled flight, flying solid objects without obvious propulsion  outside the limitations of anything we know."
19971009,19971013,"Detroit, MI",triangle,5min.,"Summary : A wedge shaped object flew over head of us as we stood on our deck in our backyard. Ther was a bright light in the middle of the ship and had four lights on each side. It lasted only 5mins it was scary but we still watched as if we were in some sort of trance.the object was wedge shaped it had one bright light in the middle and four red lights one each side. Me ,one of the witnesses is a 3.5 avr. student that plays the flute and is on the KEY club ((Name deleted)), the second witness , is an avr. student that plays football, and is also on the varsity wrestling team.((Name deleted)), the third and final witness, is a art major and cad minor"
19970324,19970323,"Manassas, VA",formation,20-25 secs.,"Summary : Seen 4 lights, high speed, very high altitude in the Manassas, VA area.I was outside walking my dog and observing the lunar eclipse around 11:20pm, I had been outside for about 20 minutes.  I was getting cold and it seemed like the eclipse wasn&apos;t really getting &quot;full&quot;, I was getting ready to head in and I noticed a very faint light, like a blur, kind of like when a search light goes across the sky.I looked back up and I seen 4 very soft or faint lights directly overhead and very high up.  I looked up with my binoculars to get a better look and I could see 4 lights, shaped like a triangle with 1 of the lights sort of trailing off the back right one, closer to it than the rest were to each other.  I watched them through thebinoculars for about 10 -15 seconds before they were out of sight.  The whole thing happened in about 20 - 25 seconds.  The lights were very faint sort of a hazy yellow color.  The sky at the time was crystal clear, about 10 minutes before the &quot;sighting&quot; the last of some clouds had passed by.  In comparison to any airplanes flying aroundtonight these lights were probably 3 or 4 times as high and 10 times faster.  I didn&apos;t hear any engines.  The whole thing is a bit of exciting also a bit of alarming, its the first time I&apos;ve ever seen something in the sky and couldn&apos;t figure out what it was.  It might have been military stuff but I don&apos;t think so, it was really very fast.I would just like to know what it was, I figure with all the people observing the eclipse tonight someone else should have seen it too.  If this service hears of someone else seeing it please e-mail me and let me know. Thanks."
19970322,19970419,"Bakersfield, CA",light,NA,Summary : Bright yellow light in the sky.  The brightest object in the sky.  Kept on brightening and lowering it flouresent yellow light.It was directly south of comet halle boppe.  Look like a giant disk rotating glowing a magnificient yellow.  Move in a circle to the west at a great speed and was losing altitude very fast gaining great distanc than to where it was prior.  It appeared that it was going to crash.  Went so far down we could no longer see it from our position.
19781101,19971017,"Mooresville, IN",other,15 min.,"Summary : a bright object follows 2 women home and gives a showMy sister and I were heading home from work to her house,when we saw a very bright object out the passenger side window.it looked like a small sun and was heading in the same direction as we were which was east. We were on a straight country road and the object kept pace with  us.When we turned north the ufo turned north also.As we pulled into my sisters driveway we were facing east again and the ufo was over her backyard. We walked to the back clutching each other in an arm lock and standing in awe we observed it hanging motionless in the sky.It seemed to be putting on a show just for us because it split in two parts and then three forming a large triangle in the sky overhead.Each time it split it became as brilliant as the first object.There was no noise detected . All the objects started to rotate in the sky keeping the triange shape. We kept asking each other &quot;Did you see that?&quot; Finally the objects moved slowly off to the south and disappeared. We had a house full of peo! ple inside and we were so much in shock that we didnt go to the window and tell them to come out and see. My sister had a better encounter but that is her story."
19960615,19970718,"Linesville, PA",light,1 hr,"Summary : witnessed flashes of light like explosions along the West,East, and SouthWestern horizonsI, Steven, was camping out on top of a hill near a green water tank/well ,just outside of Linesville,Pa in Pine Township, myself , Mark, Micheal, Keith, Ryan, Regis, and thier sister Monique, were playing it tag, well it started to get late so Monique went to lay down , and myself and the others basically just hung around talking .Suddenly we noticed a flash of light coming from the sky behind us in the east , our backs were facing towards Linesville , when we turned around it appeared to be heat lighting so we shrugged it off . Well about a half hour went by and I saw a sight that reminded me of a A-Bomb explosion in space, just above the SouthWestern horizon. &quot;Look at that did you see that?&quot; I said to my friends , some of them said yes , the others said that they caught a glimpse of something .Well thinking that was it for the strangeness that the night would bring we started playing tag again , well me and Mark were on the western side of the green tank when Regis yelled for us to look * well we looked towards his voice , he was on the eastern side of the tank along with everyone else except me and Mark , we looked up and the heat lightning like light had returned in the eastern sky ,we ran as fast as we could to the others as the light continued to flash , as the light flashed in the eastern sky, we looked to the west and saw another explosive time of light like a A-Bomb, as the night continued the events diminished and we went to sleep scared  about what was going on but before went went to sleep all we could talk about was the events that had occured . I realize that there&apos;s not much to work with as far a solid proof but i think its important enough event to report to you anyway even after a year , thank you."
19970721,19970721,"Nun&apos;s Island (Canada), PQ",formation,8 seconds,"Summary : Formation of silent, pale round objects on top of cloud ceiling ( about 15% cloud cover).I can&apos;t believe what I saw! I am still bewildered. I was at a friend&apos;s place discussing a future project. About 10:20 PM I left the building to go back home. I got out of the side door and walked across the parking lot. The sky tonight is fairly clear, except a few clouds here and there. Suddenly on top of the clouds I saw what I first thought a cloud moving faily quick towards the North. As it passed the small group of clouds it was actually a group of five circles in some V formation, with 4 of the cricles on the right side, and one on the left. They were, and I noticed, evenly spaced. The color was some sort of light gray, paler than the clouds. I look down then up and it was still there, moving at a nonchalant speed direction North. Wow! Whatever it was it faded in the sky as it moved away (not because it disappeared, but because of the distance). I ran back to  my friend Mike&apos;s place and tried to reach him but the intercom was dead (usual). I ran under is porch and yell! ed his name. He and his girlfriend ran down to see what was happening. After telling them and looking for a while (it had been gone for a few minutes by then) I ran upstairs and drew what I saw on an envelop ( 4 frames ). Don&apos;t take me wrong, I am not a hardcore disbeliever, but I tend to believe that everything can be explained (especially UFO cases) but this one is a little tougher. It was not a reflection on the clouds, it was on top of them (they were really sparse too). It was not an airplane, it was too high. I called places to find out what the ceiling was but I could not find a place that would report that. I got on the web trying to find something and I got here by curiosity. It was not balloons, it travelled to fast (when I say it, I mean the formation). The formation was going at the same speed throughout the experience. I don&apos;t know what it was! I need to find out what the cloud ceiling was tonight a top Montreal so I can make approximations as to the size of the circles. Also was there a radar somewhere that could have recorded this? I&apos;m sending this then going back outside."
19970511,19970513,"Ottawa (Canada), ON",circle,5 minute,Summary : Got up to go to washroom at 4:27am looked out my window and saw a shining objet hovering outside for about 2 minutes then speed off.Got up at 04:27 to go two washroom from my second story bedroom and looked out my window and saw a shining object out my window about a foot and a-half long and hovering there for about 2 minutes and then it speed off but it stopped about 30 feet away so I ran downstairs and got my dads airgun and loaded it ran upstairs and opened my window and fiered I hit it. It wobeled and speed straight up and dissapered never saw it again never told anyone.It was shining white circular in shape and made no sound.
19970704,19970708,"Belleville (3.5 SW of Scott AFB), IL",light,seconds,"Summary : Royal Blue light moving very fast, east to west almost directly overhead. Small teardrop shape.While watching 4th of July fireworks display (from Belleville Area College), the royal blue light was observed directly overhead on an east to west heading (parallel to IL Route 161).  Sighting was about 3.5 mile SW of Scott AFB IL.  Object was moving very fast and had no real shpe that could be noted, if anything teardrop with a white sparkling contrail.  The object was NOT in the area or vacinity of any fireworks being displayed and was potentially observed by thousands of individuals watching the fireworks.  I offer the number of observers as 2+ as a neighbor and I were talking as we both saw the other than fireworks light."
19970328,19970420,"Carmichaels, PA",disk,1-3 minutes,"Summary : Saw in clear skies long, silver, disc shaped objecthigh in the sky. Flew over head of me and my witness. Object was silent, had no visible wings or fins, no vapor trail.  No lights.Made no sound. Observed object for about 1-3 minutes until it vanished.Clear skies. Mid afternoon. Silver object,slightly rounded on bottom. No wings or fins.No lights. No vapor trail or sound. Was oblongin shape.Sighted over a trailor court.We were watching birds on the way home from thestore when we saw it.Only one object was sighted.Witness backgrounds: Me; I&apos;m a Sunday school teacher.Witness: My five year old son.I occasionally watch the skies around here because we have seen many strange things in theskies."
19971107,19971112,"Austin, TX",NA,19:00,"The UFO I had Reported has turned out to be an IFO to my relief.  It was the Iridium satellite flash. We picked up the satellite naked-eye just northeast of Jupiter, when it flared to at least-4, maybe brighter."
0000,19971005,"Rohnert Park, CA",rectangle,1 minute,"Summary : Saw black monolith type objectI was outside in my driveway smoking a cigarette, I looked up at the  stars and there was this very large black rectangle silently moving above me. There  were no lights and it made absolutely no noise. It  seemed to be very low, 20 to 40 feet above. I watched it go south until it was not in my sight. I am the kind of person who would be the first to call others over to look at some interesting thing, but I never did. In fact, I forgot about it until recently, which is weird because normally something that unusual I would recall."
19970508,19970508,"Citrus Heights (a suburb of Sacramento), CA",other,2 min (approx),"Summary : Object of an unknown type cruising at a low rate of speed over the area of Citrus HeightsWhile on my newspaper delivery route, I observed an object which I initially believed to be an aircraft decending to land. It then occured to me that it was in the wrong area to be either leaving or arriving at the airport. I then noticed that the lights which I had though were the wing tip lights, (which as you know blink red and green) were only white and that they were blinking in a circular pattern. There appeared to be a red light on the underside of the object which did not blink. The white lights were very bright and continued flashing the entire time that the object was visible to me. The object appeared to be cruising very slowly approximately 1 to 2 miles away. I could not hear any sounds coming from the object even though it is very quiet at that time of morning.The object appeared to be circular in shape but overall was similar to the shape of a derby hat with a domed section on top. from my vantage point I would estimate the size to be approximately 25 feet in diameter. As ti travelled I eventually lost sight of it as trees in the area blocked my view. I am a 45 year old male, I wear glasses and the other observer was my son who is a 15 year old male, he does not wear glasses. The entire sighting lasted approximately 2 minutes."
19950327,19971201,"Loveland/Estes Park (between), CO",light,45 min,"Summary : It looked like a star that was moving across the night sky.  But it stopped and changed direction again and again.  It changed color and became up to 5 separate lights always moving closer to us.  Near the end we could see spotlights from the craft(s).  It disapeared straight up so fast it could not have been man made.We were all camping, and sober.  It was green at first and when it was clear it was not a star or satalite it changed into up to 5 lights.  They were all changing colors sometimes when forming shapes.  Squares with the bottm red and top green.  Then a diamond all blue then white.  We watched for 25 min. then our vision was blocked by a rock face.  We all discussed what we saw and decided if we climbed on top of this rock and we were able to see it again it was certainly not our imaginations.  we viewed it again from on top of this rock face for 20 min more.  We could now see spot lights coming from it- them...  It continued to change the shapes it was forming and color of the lights that were visable. The spotlights were changing color too.  It went back to a single light, brighter than it was befoe.  Then it changed in to 3 then 5 then 9 lights forming a hoop of white lights only.  No other colors just white.  It accelerated to the west and upward so fast that the hoop i! mprint of light was visable for atleast a full second after it was gone.  If it was man made I would like to meet the men who built it-them.  We were all pretty quiet for the last min or so just watching, but when it flashed away that fast all of us screamed at the same time in aknowledgemnet.  Witnesses I am sure ((Name deleted)) of Ft. Collins will not mind me giving his name and #  (970) # deleted)).  My name is ((Name &amp; # deleted)).  The other 2 witnesses stopped telling people what we saw, to stop the constant ridicule and attention.  ((Name deleted))  of Fort Collins and ((Deleted)) of Loveland.   We were near Carter Lake in Loveland, Co."
19960531,19970509,"Chinquipin (Matagorda county, 10 miles southeast of se, TX",light,5 minutes,"Summary : A single point of light resembling a satallitebut moving very fast and making instant sharp turnsunlike any known object can.Me and my brother were sitting on the dock at our bay house fishing. My brothers attention was drawn away bywhat he believed to be a shooting star.He pointed at it but i was unable to locate it due to partial cloud cover, and its dimmness. He lost sight of it in the clouds, but regained sightof it comming out from the other side of the cloud. At that point he noted that the object made a course change of about 20 degrees and continuedout of sight over the horizon. The object followed an almost perfect north to south course untill the change which was slightly more to the east.I was unable to see this object as it was moving so fast it was gone in less than 10 seconds. There was no &apos;tail&apos; on the object, nor was theremore than one single point of light. its dimmness was equivilent to that of a satellite reflecting the sun in the evening and reflecting the suns light.After he settled down, and finished explaining his idea about it being a UFO, we went back to fishing, both of us now watching the sky.  Less than5 minutes later, the object reappeared, again from the north. this time I was the one who spotted it first and pointed it out to my brother. He confirmedthat it was the same object he viewed previously. With both of us watching, the object started a series of right angle turns that seemed to defy the laws of physics.It made about 6 or 7 course changes overhead and continued towards the south like origionally, and disappeared behind our bay house. It AGAIN reappeared out fromthe side of the bay house low on the horizon to the south over the gulf of mexico. at this point it was moving horizonally and was moving extremely fast the entire way.By extremely fast I mean like a shooting star moves fast. We both watched it move horizontally about 30-40 degrees across the horizon, then it turned again, in a very sharpzero curve turn to a northerly direction. It proceeded across the sky making one final course change of about 10-20 degrees comming to an almost perfect north direction andproceeded out of sight into the clouds along the north horizon.I need to note here that it is uncanny how familiar it is to the looks of a satellite in orbit. We both had the perception that the object was VERY far away. With the exceptionof a few low clouds, it was VERY dark and MANY stars were visible. I think city lights (like from Houston 60 miles away) would easily have drowned out the light.its my personal view that the object was not in our atmosphere.Also, i emphasize that every single turn it made had no &apos;curves&apos; in them. If you drew a right angle, thats the path it was following.I would have been more skepticle of what we saw, but increadibly, there was a report the following monday (we saw it on the first saturday morning following memorial day)in the Houston Chronicle (June 2nd i believe) reporting that there were 16 reported sightings of a UFO from Galveston Island. This island is approx. 80-100 miles WNW of ourlocation."
19970704,19970708,"Columbia, IL",light,2 seconds,Summary : Neon light blue ball passing east to west across the skyRound light neon blue ball from east to west horizon in a few seconds
